School ID,State,Subscription End Date,Expiring Dollars,Expiring Students,Subscription Status,Renewal Date
806547,California,1/31/2015,3420,570,Renewed,2/3/2015
807207,California,1/31/2015,1950,325,Renewed,11/21/2014
801162,California,1/31/2015,2766,461,Renewed,10/30/2014
806451,California,1/31/2015,1560,260,Renewed,2/3/2015
806532,California,1/31/2015,2370,395,Renewed,2/3/2015
796089,California,1/31/2015,1440,240,Renewed,12/29/2014
806076,California,1/31/2015,3000,500,Renewed,2/3/2015
806112,California,1/31/2015,2550,425,Renewed,2/3/2015
806247,California,1/31/2015,3000,500,Renewed,2/3/2015
806325,California,1/31/2015,3600,600,Renewed,2/3/2015
806373,California,1/31/2015,3390,565,Renewed,2/3/2015
806403,California,1/31/2015,2160,360,Renewed,2/3/2015
806493,California,1/31/2015,2220,370,Renewed,2/3/2015
806556,California,1/31/2015,2850,475,Not Renewed,
806379,California,1/31/2015,1860,310,Renewed,2/3/2015
806412,California,1/31/2015,3600,600,Renewed,2/3/2015
806583,California,1/31/2015,4020,670,Renewed,2/3/2015
809769,California,1/31/2015,3444,574,Renewed,3/31/2014
812043,California,1/31/2015,2700,450,Renewed,2/3/2015
812037,California,1/31/2015,2250,375,Renewed,2/3/2015
812058,California,1/31/2015,3000,500,Renewed,2/3/2015
812601,California,1/31/2015,1440,240,Renewed,3/2/2015
819312,California,1/31/2015,3390,565,Renewed,12/22/2014
819501,California,1/31/2015,4200,700,Renewed,12/22/2014
813417,California,1/31/2015,4722,787,Renewed,12/15/2014
814149,California,1/31/2015,4200,700,Renewed,10/28/2014
821433,California,1/31/2015,6090,1015,Renewed,12/12/2013
816036,California,1/31/2015,1890,315,Renewed,9/5/2014
818874,California,1/31/2015,6060,1010,Renewed,12/18/2014
819636,California,1/31/2015,4410,735,Renewed,2/27/2015
819345,California,1/31/2015,2280,380,Renewed,1/29/2015
821022,California,1/31/2015,3690,615,Renewed,1/13/2015
821439,California,1/31/2015,2850,475,Renewed,12/4/2014
821601,California,1/31/2015,2400,400,Renewed,1/9/2014
820092,California,1/31/2015,1440,240,Not Renewed,
821445,California,1/31/2015,5040,840,Renewed,1/9/2015
821640,California,1/31/2015,2520,420,Renewed,12/12/2014
822408,California,1/31/2015,2100,350,Renewed,11/10/2014
826491,California,1/31/2015,1860,310,Renewed,9/17/2014
