,Affluence_Indicator,Apple_Mac_Code,Avg_Household_Income,Avg_Sell_price,Days_group,Expiring_Dollars,Expiring_Students,ID,Lunch_Program_Eligible_Students,Metro_Code,PC_Code,Poverty_Level_Code,Renew_delay,Renewal_Date,Software_budget_per_head,State,Subscription_End_Date,Subscription_Status,Title_1_Code,Training_Budget_Per_head
120,ZZ,ZZ,ZZ,7.0,3.0,4200,600,4256121,ZZ,ZZ,ZZ,ZZ,-42.0,2016-12-20 00:00:00,ZZ,Nevada,2017-01-31,Renewed,ZZ,ZZ
121,ZZ,ZZ,ZZ,7.0,4.0,2450,350,4590126,ZZ,ZZ,ZZ,ZZ,-28.0,2017-01-03 00:00:00,ZZ,Oregon,2017-01-31,Renewed,ZZ,ZZ
122,1.0,ZZ,B,7.0,5.0,1960,280,4616973,0.0,R,ZZ,ZZ,2.0,2017-02-02 00:00:00,ZZ,New Mexico,2017-01-31,Renewed,ZZ,ZZ
123,ZZ,ZZ,ZZ,7.0,4.0,5201,743,5668440,ZZ,ZZ,ZZ,ZZ,-13.0,2017-01-18 00:00:00,ZZ,Texas,2017-01-31,Renewed,ZZ,ZZ
124,ZZ,ZZ,ZZ,7.0,3.0,7000,1000,5669775,ZZ,ZZ,ZZ,ZZ,-50.0,2016-12-12 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
125,ZZ,ZZ,ZZ,7.0,3.0,3500,500,6042816,ZZ,ZZ,ZZ,ZZ,-50.0,2016-12-12 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
126,4.0,H,P,7.0,3.0,5530,790,7039083,127.0,S,H,C,-50.0,2016-12-12 00:00:00,D,California,2017-01-31,Renewed,B,A
127,4.0,D,H,7.0,3.0,3500,500,7171521,368.0,S,E,D,-57.0,2016-12-05 00:00:00,Z,California,2017-01-31,Renewed,C,Z
128,ZZ,ZZ,ZZ,7.0,1.0,1960,280,8154588,ZZ,ZZ,ZZ,ZZ,-224.0,2016-06-21 00:00:00,ZZ,Nevada,2017-01-31,Renewed,ZZ,ZZ
129,ZZ,ZZ,ZZ,7.0,5.0,2380,340,9164664,ZZ,ZZ,ZZ,ZZ,15.0,2017-02-15 00:00:00,ZZ,Mississippi,2017-01-31,Renewed,ZZ,ZZ
130,5.0,K,O,7.0,3.0,3150,450,9889935,102.0,U,K,D,-57.0,2016-12-05 00:00:00,Z,California,2017-01-31,Renewed,D,Z
131,ZZ,ZZ,ZZ,7.0,6.0,1680,240,9968208,ZZ,ZZ,ZZ,ZZ,44.0,2017-03-16 00:00:00,ZZ,Pennsylvania,2017-01-31,Renewed,ZZ,ZZ
133,5.0,ZZ,P,7.0,1.0,1680,240,74343,0.0,S,ZZ,ZZ,-155.0,2016-08-29 00:00:00,ZZ,Pennsylvania,2017-01-31,Renewed,ZZ,ZZ
134,5.0,F,J,7.0,3.0,1680,240,75771,200.0,T,G,B,-64.0,2016-11-28 00:00:00,C,Pennsylvania,2017-01-31,Renewed,C,A
135,2.0,C,A,7.0,3.0,1820,260,100308,0.0,R,H,C,-49.0,2016-12-13 00:00:00,G,West Virginia,2017-01-31,Renewed,C,D
136,3.0,C,D,7.0,3.0,2415,345,100338,0.0,T,H,C,-49.0,2016-12-13 00:00:00,G,West Virginia,2017-01-31,Renewed,C,D
137,3.0,E,F,7.0,2.0,1680,240,110772,169.0,R,H,D,-98.0,2016-10-25 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
138,ZZ,ZZ,ZZ,7.0,3.0,3500,500,122619,ZZ,ZZ,ZZ,ZZ,-71.0,2016-11-21 00:00:00,ZZ,North Carolina,2017-01-31,Renewed,ZZ,ZZ
139,4.0,D,C,7.0,3.0,1750,250,122706,229.0,T,H,D,-56.0,2016-12-06 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
140,4.0,D,C,7.0,3.0,3325,475,122772,488.0,T,H,D,-56.0,2016-12-06 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
141,3.0,F,F,7.0,4.0,3150,450,122850,319.0,R,H,C,-8.0,2017-01-23 00:00:00,G,North Carolina,2017-01-31,Renewed,C,E
142,5.0,D,E,7.0,3.0,2240,320,122952,537.0,R,H,D,-56.0,2016-12-06 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
